Nome,Classe,A1,A2,A3,Ini,Agi,Var,Qarm,Pfog,Fusel,RP,M,C,P,Ticks,Comb,TEC,tipo,Raca
Artemis,Ca,Co,Ca,-,15,35,35,3,2,7,45,1.300,0,0,4,10,2,Normal,Humana
Perseu,Co,Fr,-,-,37,25,32,5,4,15,55,2.400,250,0,8,20,3,Normal,Humana
Ares,Co,De,Cr,-,41,25,18,4,6,16,60,2.100,750,0,8,25,3,Normal,Humana
Dem&eacute;ter,Fr,Fr,Co,-,53,28,40,6,5,45,65,3.200,2.500,0,12,65,4,Normal,Humana
Vulcano,Fr,Cr,Na,-,57,22,19,4,7,50,70,3.500,1.250,0,12,80,4,Normal,Humana
Hera,Fr,Ro,-,-,99,25,1,1,1,35,55,2.700,1.700,0,12,95,4,Roider,Humana
Tanatos,De,Ca,Co,-,29,23,48,12,3,67,70,4.000,8.000,0,16,135,4,Normal,Humana
Netuno,De,Ro,-,-,99,17,1,2,1,55,75,8.000,2.000,0,16,175,4,Roider,Humana
Hermes,Cr,De,Fr,-,75,13,22,10,17,180,70,15.000,10.000,0,20,225,4,Normal,Humana
Apolo,Cr,Co,-,-,73,10,30,21,10,200,75,20.000,8.000,0,20,350,5,Normal,Humana
Hercules,Na,Fr,-,-,83,12,22,22,27,500,90,27.000,25.000,0,24,400,5,Normal,Humana
Zeus,Na,Na,Cr,-,85,5,10,20,40,550,95,50.000,16.000,0,24,700,5,Normal,Humana
Os&iacute;ris,Ca,Co,-,-,2,35,0,1,0,6,40,0,1.000,0,4,10,2,PEM,Daharan
&Iacute;sis,Ca,Ca,-,-,1,35,0,2,0,6,45,1.000,250,0,4,10,2,PEM,Daharan
H&oacute;rus,Co,Fr,-,-,4,22,0,2,0,20,50,1.750,1.500,0,8,20,3,PEM,Daharan
Geb,Co,De,Cr,-,3,22,0,1,0,20,60,2.000,1.750,0,8,40,3,PEM,Daharan
Seth,Fr,Ro,-,-,99,25,1,1,1,32,65,2.350,2.000,0,12,25,4,Roider,Daharan
Bastet,Fr,Ca,Co,-,5,22,0,7,0,40,70,3.000,2.500,0,12,85,4,PEM,Daharan
Nut,De,Fr,-,-,7,20,0,7,0,55,70,7.000,4.000,0,16,160,4,PEM,Daharan
Sekmet,Cr,Cr,De,-,8,14,0,8,0,185,70,16.000,12.000,0,20,320,5,PEM,Daharan
An&uacute;bis,Cr,Co,Ca,-,6,10,0,25,0,190,75,20.000,7.000,0,20,340,5,PEM,Daharan
Thoth,Cr,Ro,-,-,99,10,1,3,1,150,80,18.000,12.500,0,20,400,4,Roider,Daharan
N&eacute;ftis,Na,Na,Cr,-,9,5,0,22,0,450,95,45.000,35.000,0,24,700,5,PEM,Daharan
Amon-R&aacute;,Na,Co,Ca,-,10,5,0,95,0,400,95,45.000,36.000,0,24,750,5,PEM,Daharan
Thor,Ca,Ca,Co,-,11,40,45,3,2,3,30,1.200,0,0,4,10,2,Invisivel,Rakshasa
Njord,Ca,Fr,-,-,17,35,30,3,5,4,25,1.200,500,0,4,10,2,Invisivel,Rakshasa
Heimdall,Ca,De,-,-,19,30,30,3,4,4,30,750,1.050,0,4,10,2,Invisivel,Rakshasa
Attila,Co,Co,Ca,-,31,32,35,5,4,13,50,1.500,1.200,0,8,20,3,Invisivel,Rakshasa
Hela,Co,Ro,-,-,99,32,1,1,1,9,45,1.100,1.400,0,8,25,3,Roider,Rakshasa
Fenrir,Co,Cr,Na,-,39,32,24,5,7,12,50,2.100,1.000,0,8,35,3,Invisivel,Rakshasa
Freya,Fr,Cr,-,-,55,25,20,9,6,35,60,4.250,3.250,0,12,75,4,Invisivel,Rakshasa
Loki,De,Fr,Co,-,49,22,32,6,7,80,75,6.000,5.500,0,16,125,4,Invisivel,Rakshasa
Vidar,De,Ro,-,-,99,20,1,2,1,50,70,10.000,2.000,0,16,175,4,Roider,Rakshasa
